Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nf,C_0402_1005Metric,38.1,-34.925,270,top
C2,100nf,C_0402_1005Metric,48.26,-45.085,0,top
C3,100nf,C_0402_1005Metric,50.8,-35.56,90,top
C4,100nf,C_0402_1005Metric,41.91,-32.385,180,top
C5,1uf,C_0402_1005Metric,37.465,-40.64,270,top
C6,100nf,C_0402_1005Metric,36.195,-40.64,270,top
C7,100nf,C_0402_1005Metric,55.245,-33.02,0,top
C8,20pf,C_0402_1005Metric,27.94,-33.655,180,top
C9,20pf,C_0402_1005Metric,27.94,-36.195,180,top
C10,100nf,C_0402_1005Metric,36.83,-38.735,0,top
C11,1uf,C_0402_1005Metric,57.15,-27.94,0,top
C12,1uf,C_0402_1005Metric,54.61,-30.48,90,top
D1,1N4148,D_SOD-123,44.45,-53.34,270,top
D2,1N4148,D_SOD-123,44.45,-78.105,270,top
D3,1N4148,D_SOD-123,44.45,-97.79,270,top
D4,1N4148,D_SOD-123,44.45,-116.84,270,top
D5,1N4148,D_SOD-123,44.45,-135.89,270,top
D6,1N4148,D_SOD-123,44.45,-148.59,270,top
D7,1N4148,D_SOD-123,63.5,-52.705,270,top
D8,1N4148,D_SOD-123,63.5,-78.105,270,top
D9,1N4148,D_SOD-123,63.5,-97.79,270,top
D10,1N4148,D_SOD-123,63.5,-116.84,270,top
D11,1N4148,D_SOD-123,63.5,-135.89,270,top
D12,1N4148,D_SOD-123,82.55,-52.705,270,top
D13,1N4148,D_SOD-123,82.55,-78.105,270,top
D14,1N4148,D_SOD-123,82.55,-95.25,270,top
D15,1N4148,D_SOD-123,82.55,-116.84,270,top
D16,1N4148,D_SOD-123,82.55,-133.35,270,top
D17,1N4148,D_SOD-123,82.55,-154.94,270,top
D18,1N4148,D_SOD-123,101.6,-52.705,270,top
D19,1N4148,D_SOD-123,101.6,-78.105,270,top
D20,1N4148,D_SOD-123,101.6,-106.68,270,top
D21,1N4148,D_SOD-123,101.6,-146.05,270,top
R1,10k,R_0402_1005Metric,44.45,-31.115,180,top
R2,5.1K,R_0402_1005Metric,72.39,-21.59,90,top
R3,5.1K,R_0402_1005Metric,55.88,-21.59,90,top
R4,1.5K,R_0402_1005Metric,60.96,-27.94,0,top
U1,SRV05-4,SOT-23-6,66.04,-29.21,180,top
U2,STM32F103C8Tx,LQFP-48_7x7mm_P0.5mm,44.45,-38.735,0,top
U3,XC6206PxxxMR,SOT-23,57.15,-30.48,0,top
Y1,8MHz,Crystal_SMD_5032-2Pin_5.0x3.2mm,33.02,-34.925,90,top