Comment,Designator,Footprint,LCSC
"1uf","C10,C1,C2","Capacitor_SMD:C_0402_1005Metric","C52923"
"20pf","C3,C4","Capacitor_SMD:C_0402_1005Metric","C1554"
"100nf","C6,C7,C8,C9,C12,C11,C5","Capacitor_SMD:C_0402_1005Metric","C1525"
"BAT54C","D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11","Package_TO_SOT_SMD:SOT-23","C375703"
"WS2813","D12,D13,D14,D15,D16,D17","LED_SMD:LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm","C194323"
"SMD0805P050TF","F1","Fuse:Fuse_0805_2012Metric_Castellated","C20978"
"TestPoint","GND1,SCK1,SIO1","TestPoint:TestPoint_Pad_D2.0mm"
"USB_C_Receptacle_USB2.0","J1","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12"
"AO3401A","Q1","Package_TO_SOT_SMD:SOT-23","C15127"
"470R","R1,R5,R9,R13,R17,R21,R2,R6,R10,R14,R18,R3,R7,R11,R15,R19,R22,R4,R8,R12,R20","Resistor_SMD:R_0805_2012Metric","C17710"
"10K","R23","Resistor_SMD:R_0402_1005Metric","C25744"
"150R","R24","Resistor_SMD:R_0402_1005Metric","C25082"
"1.5K","R25","Resistor_SMD:R_0402_1005Metric","C25867"
"1M","R26","Resistor_SMD:R_0402_1005Metric","C25082"
"10k","R28","Resistor_SMD:R_0402_1005Metric","C25744"
"5.1K","R29,R27","Resistor_SMD:R_0402_1005Metric","C25905"
"MX-LED","SW_ESC1,SW_FN1,SW_BKSP1,SW_NUMLK1,SW_SLASH1,SW_STAR1,SW_MINUS1,SW_1,SW_4,SW_5,SW_6,SW_7,SW_9,SW_DOT1,SW_TAB1,SW_8,SW_3,SW_2","Keebio-Parts:MX-Alps-Choc-1U"
"MX-LED","SW_PLUS1,SW_ENTER1,SW_10","Keebio-Parts:MX-Alps-Choc-2U-StabFlip"
"XC6206PxxxMR","U1","Package_TO_SOT_SMD:SOT-23","C5446"
"SRV05-4","U2","Package_TO_SOT_SMD:SOT-23-6","C85364"
"STM32F103C8Tx","U3","Package_QFP:LQFP-48_7x7mm_P0.5mm","C8734"
"8MHz","Y1","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm","C115962"